group,Lead_h,w_MAE,w_RMSE,w_Rup_q95,w_Rdown_q95
non_ramp,3,0.19505602483523823,0.19272247627492897,0.29030722390986674,0.32191427497996605
non_ramp,6,0.21528901302713283,0.2198529129811291,0.290821816638887,0.2740362573528512
non_ramp,9,0.20087848991780577,0.21615596064835602,0.2734859838686326,0.3094795655652056
non_ramp,12,0.2604329742045431,0.2195505502080571,0.2801306862999922,0.23988578928740756
non_ramp,15,0.262829977129186,0.2190193577990053,0.31267448776653295,0.20547617730527587
non_ramp,18,0.22572894583999809,0.22606639498627934,0.29365113201727294,0.2545535271564496
ramp,3,0.24938440303441395,0.32764527502822255,0.24239194954566218,0.18057837239170146
ramp,6,0.2481215770971492,0.25858027496505026,0.2524484651509111,0.2408496827868895
ramp,9,0.2772378556883593,0.34787783234720726,0.20987527411199725,0.1650090378524362
ramp,12,0.24874680662475424,0.31599959003443584,0.22110102082419825,0.2141525825166117
ramp,15,0.31566593038885543,0.2752650395866853,0.25593889112878654,0.15313013889567265
ramp,18,0.2856168454493976,0.270757873204965,0.1907897607333864,0.252835520612251
